a,b,t
-0.11318855873373959,-0.01592619310658336,1
0.1269290718149902,-0.015195641420040956,1
-0.5265307287900982,0.8143133766528798,0
0.704079681420335,0.666747498652012,0
0.7937196046456002,-0.5111614709644088,0
0.11074494960630377,0.015131765526048474,1
0.08814718684657603,0.0311243006780511,1
0.024275787833970067,0.11380057848547655,1
0.1247336046334277,0.8993792247929681,0
-0.0009050542940717034,0.17226559009882406,1
0.030409555993549567,-0.15201023020091384,1
0.1064784157160853,0.0865950931306198,1
0.5384704916681333,-0.8319101117338191,0
0.07702190521810354,0.10634461607221758,1
0.08317083793400422,0.042325175707412,1
-0.09622299415561118,-0.002643627127341491,1
-0.0015507119509921424,0.05168904624332869,1
-0.8810908890836219,0.4336184769139297,0
0.04245183353115271,0.09391201607740753,1
0.08329951987629966,0.010574114389595088,1
0.05830564330860202,-0.19807659025907523,1
-0.8218319372558681,0.6166491946508108,0
0.1156972474577779,0.00505209514702544,1
-0.12163968567225114,-0.02762960310941466,1
-0.15255482467986337,-0.07612125265430823,1
-0.18700482121213477,-0.048428496538053874,1
0.1003751019032135,0.13201555552727182,1
-0.022045624388323415,-0.09540767635326172,1
0.4453810527309887,0.7506591940591352,0
0.1724068349553488,-0.06259899209909144,1
-0.061246999500314536,-0.03211237382685754,1
0.7230757359094262,0.4800958867077857,0
0.09816473560370047,-0.1767179366323949,1
-0.9374638441454692,0.26083422463009215,0
-1.0305661597101394,-0.3956696821534598,0
0.04188714847684554,-0.034895021898776156,1
0.09235981181282929,0.017706001357972543,1
-0.15812940255782812,0.01274243860847717,1
-0.18807560169538642,1.0097227078872735,0
0.884474606455624,-0.4337959186418351,0
-0.17865376874059546,0.9817968372601101,0
0.4846242480417914,-0.813507062462434,0
-0.6490453699243026,0.7863370440352875,0
0.635661218331874,-0.7450757825561773,0
0.50635329785158,0.7772107039776519,0
0.11756144601141146,-0.0024963363538148854,1
0.041515240196467004,0.12093706130927434,1
0.06136857458233069,0.010728949949185794,1
-0.07138929413038686,-0.07789561334386619,1
-0.987047814708686,-0.21649047551632322,0
-0.31413808825692224,0.9463470411457682,0
-0.1295913225169305,0.04340359063370469,1
-0.856790695790283,0.5592021506654118,0
0.11124604306522647,0.047241007326714095,1
0.8081815318668988,-0.5514601989004607,0
-0.8210422387958821,-0.6608214166286521,0
0.6371178481577209,-0.5200708591342942,0
0.9751783687448693,-0.1710144720802157,0
0.41899496733301944,0.9091783854465643,0
0.4204014291405819,0.829854071846654,0
0.9753142149314767,0.42963001057184097,0
0.8399340954963926,0.6591853950700782,0
-0.9729608820944278,0.4071761276513259,0
0.0610800450571964,-0.08626518236343712,1
0.13171442853876783,0.015024393041655607,1
-0.002736441452767968,-0.9860434204270134,0
0.08595777278257749,0.053022005544052064,1
0.03424378695905681,-0.11529818586631085,1
0.8058954304288619,-0.7045469569319402,0
-0.08250458478572534,-0.06349565196810401,1
0.04688067211412454,-0.18464647270329626,1
0.014507233704651686,1.0197664200397423,0
0.14390527788668936,-0.09083303247147956,1
-1.0735519757296568,0.48442415795871674,0
-0.08395399243581142,-0.046911394756598265,1
-0.21706711912283694,-0.9466398873379885,0
-0.0708213455102606,-0.09215236441381153,1
-1.0289557410793315,-0.11554861883468603,0
-0.5287815467944359,0.8628930164316041,0
0.06194131858301558,0.05234834773121461,1
0.7781694039335733,-0.7402860850508738,0
0.05490041503232813,0.030103871705710418,1
-0.1281593907426209,0.013536784955146139,1
0.04759859832016277,-0.122728492485456,1
0.07563295444787362,0.024122703516811776,1
-0.0542142042135844,-0.06356550743131636,1
-0.10906133846809415,0.05770469416724269,1
0.12574662805303705,-0.20107672691971684,1
0.0017755870254155953,0.04702544873912541,1
0.9260139755751096,-0.23539361506563525,0
-1.0739415038332534,-0.29078183225741006,0
0.5485014011952867,0.9016891289768412,0
-0.010607509650847669,0.11723358813317886,1
-0.9513582283098438,0.28952656667112564,0
-0.10252744748069184,-0.20656195871867558,1
-0.7530078999199032,-0.7515346115958459,0
-0.0889760093412508,-0.9299731565642108,0
-0.014384147779603243,-0.1024167225659336,1
0.0221967635764638,-0.0051151386209223465,1
-0.0059310111877791255,-0.06550140260729465,1
-0.7935887300044658,-0.6169252304922522,0
-0.4891532599698129,-0.745340689133224,0
0.13177593899250006,-0.9975138324190459,0
0.17316967538950878,0.03737310969777187,1
-0.7370665614227054,-0.8096325683685173,0
-0.03643421108009838,0.03999336297427325,1
0.0555805974596994,0.11078523473760782,1
-0.4058609901349764,-0.9173522374650116,0
-0.02737280777170386,0.10793672942870276,1
-0.14605049253618563,0.05483926268878725,1
0.08263397259085208,-0.025088319081250456,1
-0.2876923877449987,-0.893862840485462,0
0.10482273354155361,-0.11021195452572058,1
0.9499013695810328,0.4923658104331007,0
0.013015245768005085,-0.03002517920849189,1
0.0725472371523523,-0.14180955178794052,1
0.047060079602309346,0.0723647746703904,1
-0.23320712642757568,1.008789140316716,0
-0.14734354972429697,0.8508948370649119,0
0.03822462937081105,0.02198142523442924,1
-0.08981858126959127,0.07928157921228302,1
-0.2029484163291412,0.9761307965682308,0
-1.0140418608248003,0.08866709070581609,0
-0.24834505584422126,-1.0182702836782493,0
-0.08218682598944548,0.04131186974340352,1
0.4530539249928914,-1.0338520065784367,0
-0.8457229032798391,-0.5068323746255676,0
-0.11999250497113598,-0.11872752964488714,1
0.2164591253724794,0.9913287701197481,0
0.13105167137749088,-0.17084872865788947,1
-0.031134914511896726,0.09548464382259117,1
0.8803604459220681,0.19568135406262321,0
-0.12069407459251946,0.10689683827639382,1
-0.15418764268190366,-0.004817912237367094,1
0.10572358152150288,0.07333212044801665,1
-1.0048366964774471,0.645907543601583,0
0.8513309033193196,0.33310767493931104,0
-0.045392676641689125,-0.12934859055950113,1
-0.07082349305245009,-0.008396986895849376,1
-0.02592779299642238,1.0003466834703238,0
-0.12455925436842885,-0.029205140345320575,1
0.9309846975874886,0.4436206581103432,0
0.6796067439147991,0.688319311331423,0
-0.07023849400251234,-0.08324364084735882,1
-0.8793710458858438,0.0819636249287456,0
-0.07345604494992115,0.9826493240451452,0
0.07188995347264429,-0.12146223862616408,1
0.2545658606606323,0.9073682199295954,0
-0.07014554546659815,0.03627263348979678,1
0.9575460945108438,-0.10130044223341575,0
-0.9863777723185265,0.18541145498675118,0
0.7513268127890513,-0.6360784523844024,0
-0.06176285610835717,0.04781642349145701,1
-0.15729554071057722,0.9984329526660058,0
0.9888955400342141,-0.27083969045457695,0
0.020651341302054774,0.11784637161683933,1
-0.02058595658281155,-1.0728286329980976,0
-0.021109270593639234,-0.050565463176154346,1
-0.08174952802339011,-0.02295377355294595,1
0.9844854621572353,0.33770739054129567,0
-0.130749246128924,-0.027745264420062685,1
-1.0330829210303267,-0.15872181843823338,0
-0.8105116522541165,-0.7188758712250681,0
-0.13247575325983182,-0.040241902542960784,1
0.05873672806839819,0.0852577166597613,1
-0.8829190771380232,-0.4957909841684048,0
0.9966865790716466,-0.27839607029812097,0
1.0166732562182461,0.05405176583394146,0
-0.032195378189491364,-0.19062703358610117,1
-0.02650851325595531,0.17427653111244668,1
0.10527730247223026,0.9364465249653144,0
-0.6665890437813096,0.5677277124383662,0
-0.37235292621564287,-0.9883256687359748,0
0.6079960447209989,0.8045399777734725,0
0.04880695856199471,0.05149414515021512,1
-0.4007573695697717,-0.8869679816233186,0
-0.01200207436216145,0.16390316323433346,1
0.08951793878573068,0.969748315335402,0
-0.05672941394108692,0.09409146272819327,1
-0.05572960331369807,-0.05526568888180057,1
-0.028684442720969584,0.9426933747469005,0
0.2952285196558971,0.9818975984807484,0
0.8160396433512117,0.5165117347638667,0
0.8863040516994667,0.21764286693243265,0
-0.05889170297347425,0.011732123200234493,1
-0.8961642605878009,0.3957214942304269,0
-0.19707921677658952,-0.036392258470089894,1
0.7104596391277731,-0.7170063917210641,0
0.27535716654829717,0.9971554634700555,0
0.025357501057622786,-0.018412303026341635,1
0.9072093366521286,0.599017008075422,0
0.03656817208688795,0.14887257327187478,1
-0.6037584691952871,0.7329644169703777,0
0.875604765756451,-0.6059306574420847,0
0.9707857303862676,-0.4232033910237549,0
0.7196075613675045,-0.8467433060048924,0
-0.8408393457227867,0.11101827033042785,0
-0.8507287660984076,-0.5313529399693615,0
-0.8558719080838659,0.5477587883062714,0
-0.9759470840692351,-0.133179231898948,0
1.02445560840687,0.35253834210488355,0
0.06995140923439036,-0.08120315326512278,1
0.06847298354858201,0.18130339561671477,1
0.1119502453616695,0.016135848319382542,1
0.709405366802987,-0.651605288009566,0
-0.005052385263561804,0.032577709022932506,1
-0.08241102907663367,0.08448092155067113,1
-0.6268883283601322,0.9399681767823372,0
0.15728336959130146,-0.23594602205416573,1
-0.6568229523168055,-0.8861997581276151,0
-0.12196188055831511,0.9207795937004405,0
-0.05586959748099919,-0.06297822245136411,1
-0.8892498043326048,-0.5474146354476034,0
-0.06722944318772474,-0.005353405437945963,1
0.11712003898115979,0.042274929187698394,1
0.8744162431887168,0.4141024747069638,0
0.06651664264161433,0.007251466909311409,1
0.6803738033412097,-0.7601859792141956,0
-0.009781463511355235,0.12408165418402996,1
0.8225327775581672,-0.5276942773480202,0
0.8980716692078092,0.09286906595326289,0
0.08002711982995278,0.059963470743455656,1
0.9921572832449475,-0.28348741712373327,0
0.07649605250242356,0.12514173525578665,1
-0.41881064363246123,0.9640111804019256,0
